date,review_id,reviewer_id,business_id,vote_funny,vote_cool,vote_useful,rating
3/15/2012,-s77HISu8DVQ8F0HxmWW6A,mthr7h15a_z9m9jRI6mG6Q,m5_GCJP2W4zEJnyVgxa3eA,0,1,3,1
6/21/2010,A2aCzGCgg6gAbatHiCrPfA,rhM01fl3iU0xHr3TIpCMhQ,m5_GCJP2W4zEJnyVgxa3eA,0,0,0,5
7/29/2011,DK2pd,SNHKDgmGiLn5chUlhdLCkg,CwPi6NVuJIZZx4IBcTekFQ,1,0,1,5
3/10/2006,b3BkUiWJEKNQko,HXjk1RVfLMPeZxitnk1Auw,43rd1LKcZRIunySzbMsyLQ,17,3,3,3
8/28/2012,RabHhte,W0ny0BqO0OJ4K4aVnSIlBw,CwPi6NVuJIZZx4IBcTekFQ,0,0,0,3
7/24/2008,URYsnxvvMEEfXGsxXoopJw,aaKoXeGR5JF_57wfJrhKAg,HOJqzz1WvOmeR9oESJ4d9A,0,0,0,5
1/5/2011,OTMB,q6TvyzBC4jijICdrtxsZWQ,DBtXy8wcPsVr80oFfz-CbA,0,0,0,5
2/8/2012,8Nhg7yMpRF5yY,hagdY4ORtNf00Ohg4v7eqA,LlHEzxQTiiLJokn2tli35A,0,0,0,3
3/10/2012,Nn63tdjXAA9qCe3hruihJw,q24kooORA4UN2ao1h53ksg,GEpXn9rtTMtIj5NsGFiNQw,0,0,0,5
8/16/2010,TJszNbgw4NpiA2geGxUu1Q,a0V843Mv4b34VkRwB_li5Q,dLS8GPg-K1O-zJ3VJAtiyg,0,0,6,3
12/29/2011,p6NAdIR168QqFsqa4-yoUw,_hyz97xkoWmSgjg1IwcKzg,LMaoM2Ue2BR_HI9ba3JsZg,0,0,2,5
11/2/2011,38Lho9iA7kIkT3Fz9EQXLA,zZEdSbuwgxsnXUVntu4JTQ,Rlg07N7Sl1qTzjc7zc6Whg,0,0,0,1
7/31/2007,2hjV5VqINyAZqULNeGtwkg,CEdlKOB8qKNOSbk-QsK1aA,vvhfPV-Llkd4fE2SHuLVvA,0,1,1,5
2/23/2009,YyGPtpiTtJRCgldGFrusfQ,WeVJjwsaXQYQWAe1DAkIIg,qqax04alS3UPx0Yp4jJNDQ,0,0,0,3
4/9/2011,ydjimxH6vt2DCyvTNTUjUA,tNPeurOGOUatqFLAUql6nw,ibreTMGGaQSanZttUchjKg,0,0,1,3
